"";"Modelo";"Sigma2";"Tau";"ICC";"R2L1";"R2L2"
"1";"Modelos Nulo";0,682;0,098;0,126;"-";"-"
"2";"Modelo Individual";0,386;0,014;0,034;"0.434";"-"
"3";"Modelo Contextual";0,685;0,036;0,05;"-0.004";"0.636"
"4";"Modelo Multinivel";0,387;0,014;0,036;"0.433";"0.854"
