X,Y,FID,ID,Longitud,latitud,Nombre_Con,Comuna,Región,Total_depa,Año_Permi,Superficie,Villa_de_B,jardin_inf,Ed_basica,Ed_media,Hospital,Consultori,Sapu,Bomberos
-73.029911456699097,-36.812491047430314,594,593,-73.029911,-36.812491,Caja de Previsión de la Defensa Nacional,Concepción,VIII,80,1981,65.08,No,520.978999,326.869124,1376.553383,1502.085869,474.148333,2187.340902,497.921617
-73.035196499707297,-36.792051883995498,595,594,-73.035196,-36.792052,Condominio Los Cipreses,Concepción,VIII,596,2007,46.852033,No,285.504603,1033.157714,2941.620545,3658.959909,805.204031,805.204031,1701.172753
-73.061203771580296,-36.810929181492305,596,595,-73.061204,-36.810929,Conjunto Habitacional Anibal Pinto,Concepción,VIII,120,2007,55,No,491.959688,660.316385,1158.264128,2620.20071,630.064627,630.064627,709.519982
-73.028044448733496,-36.815975631258084,597,596,-73.028044,-36.815976,Conjunto Habitacional General Schenider,Concepción,VIII,128,1974,67.945625,No,903.847309,601.957271,1173.445448,1246.228884,342.602095,2426.652848,481.08272
-73.065555825601393,-36.812978658428193,598,597,-73.065556,-36.812979,Conjunto Habitacional Lote A1 madesal,Concepción,VIII,96,1997,63.604167,No,288.278009,847.440347,847.440347,2825.249168,769.763646,769.763646,326.294132
-73.055924807381302,-36.840142089051106,599,598,-73.055925,-36.840142,Conjunto Inés de Suárez,Concepción,VIII,90,1987,67.456,No,183.573382,849.143058,1034.921626,2332.072738,184.682334,3336.975274,841.232847
-73.025217678440697,-36.806032555260302,600,599,-73.025218,-36.806033,Conjunto Los Conquistadores,Concepción,VIII,1020,2005,50,No,955.52114,1061.223703,2109.222379,2328.403655,1301.455599,2265.929648,1325.343667
-73.0701404370825,-36.827054920115692,601,600,-73.07014,-36.827055,Ribera Norte,Concepción,VIII,445,1999,50.622438,No,278.514345,531.220217,1514.308325,2902.380973,404.709604,1910.222535,1480.670867
-73.058287109507305,-36.813813685042916,602,601,-73.058287,-36.813814,Corporación de la Vivienda,Concepción,VIII,32,1968,69.0825,No,79.112583,306.976928,855.654315,2221.681265,546.473459,546.473459,978.773264
-73.069524241868805,-36.812195595133893,603,602,-73.069524,-36.812196,Diego de Almagro,Concepción,VIII,20,1992,79.604,No,257.489554,497.257346,497.257346,3179.790219,417.55714,417.55714,47.626377
-73.030394729392398,-36.812189178597002,604,603,-73.030395,-36.812189,Edificio Mirasol,Concepción,VIII,40,1990,67.821,No,466.478947,290.602925,1351.794251,1517.355496,492.607031,2140.659213,499.681085
-73.057657655652307,-36.813640553967304,605,604,-73.057658,-36.813641,Edificio Umbral,Concepción,VIII,18,1991,74.591667,No,76.510081,252.960062,842.976932,2186.584572,495.576682,495.576682,1030.466407
-73.059047526427605,-36.810586159738122,606,605,-73.059048,-36.810586,Juntos por un Sueño,Concepción,VIII,64,2010,57.345,No,372.545814,530.952504,1201.135453,2493.266689,434.133513,434.133513,905.867573
-73.063591174419699,-36.810196383963621,607,606,-73.063591,-36.810196,Población Laguna Redonda,Concepción,VIII,800,1970,75.49705,No,333.147667,886.073197,937.901219,2840.370508,837.253174,837.253174,527.180628
-73.046051530986205,-36.818970418099305,608,607,-73.046052,-36.81897,Remodelación Eleuterio Ramírez 93,Concepción,VIII,160,1979,80.78375,No,871.470505,180.258532,180.258532,1005.986461,565.19183,1222.755265,613.277535
-73.059395771258394,-36.825669599570887,609,608,-73.059396,-36.82567,Remodelación Ignacio Serrano,Concepción,VIII,74,1978,82.604054,No,152.603356,522.915308,576.040302,1935.456565,433.594276,1786.351032,781.602539
-73.046337033591399,-36.823668289418208,610,609,-73.046337,-36.823668,Adel Almizry,Concepción,VIII,6,1961,109.75,No,729.354773,402.321976,402.321976,783.769951,139.329922,1659.889268,532.462383
-73.048061746619894,-36.828642718958712,611,610,-73.048062,-36.828643,Aníbal Pinto N°266,Concepción,VIII,28,1970,86.344643,No,770.552495,272.285383,308.442791,1003.330168,595.435182,2128.139013,662.849325
-73.053243916510795,-36.828052618035798,612,611,-73.053244,-36.828053,Barros Arana 401,Concepción,VIII,16,1961,79.495,No,457.585748,536.784458,352.338479,1423.665204,270.079661,1992.156623,406.108982
-73.047693382963502,-36.825647132822318,613,612,-73.047693,-36.825647,Calle Cervantes N°480,Concepción,VIII,12,1953,47.47,No,673.856514,606.471931,597.19924,891.287297,317.825416,1818.945459,554.490492
-73.038154102407006,-36.822330809933796,614,613,-73.038154,-36.822331,Comunidad Edificio Jardínes del Sol,Concepción,VIII,39,1968,68.779231,No,865.25212,261.839636,191.039733,307.686717,622.335799,1973.449076,246.41685
-73.015854958207598,-36.824348010570503,615,614,-73.015855,-36.824348,Condominio General Gorostiaga,Concepción,VIII,48,1994,71.09125,No,984.806484,456.869037,1843.87464,1834.634599,1128.960989,3773.278236,747.286382
-73.063791907886497,-36.81936337042368,616,615,-73.063792,-36.819363,Conjunto Habitacional Vicuña Mackena Lote 1 2 y 3,Concepción,VIII,180,2009,57.044,No,781.91591,503.301923,949.714842,2412.245762,987.158166,1334.703313,937.08858
-73.068828260805702,-36.826291353389514,617,616,-73.068828,-36.826291,Conjunto Habitacional Avenida Zañartu,Concepción,VIII,230,2003,0,No,217.550472,391.765802,1377.092093,2780.140105,336.970239,1848.543668,1404.112476
-73.064396585505406,-36.824179551856702,618,617,-73.064397,-36.82418,Conjunto Habitacional Garretón,Concepción,VIII,180,1999,50.529778,No,397.962346,184.694427,937.756483,2383.16168,453.279022,1761.764197,1139.567971
-73.040832647723903,-36.812058986844001,619,618,-73.040833,-36.812059,Conjunto Habitacional Lientur,Concepción,VIII,160,2002,51.83,No,271.606679,503.292816,673.355564,1472.872492,941.810748,1214.869971,643.155401
-73.041984682007694,-36.80641846706861,620,619,-73.041985,-36.806418,Conjunto Habitacional Lo Custodio I,Concepción,VIII,60,1997,44.971667,No,192.237148,520.429285,1251.708764,2107.822907,1168.723567,1168.723567,137.031871
-73.040805891323899,-36.80698402019722,621,620,-73.040806,-36.806984,Conjunto Habitacional Lo Custodio II,Concepción,VIII,60,1997,44.971667,No,160.822128,641.387365,1209.69417,2029.165378,1248.689625,1248.689625,259.421036
-73.077495072427098,-36.807309659652205,622,621,-73.077495,-36.80731,Conjunto Residencial Monumental,Concepción,VIII,40,1990,0,No,634.902062,398.855857,398.855857,4063.421629,478.764322,478.764322,922.38541
