cod_zona,nse_index,idencuesta
13101021006,.65883273,13101025
13101031006,.71345252,13101034
13101071001,.41063452,13101053
13101101004,.77644467,131010729
13101111007,.75911558,13101081
13101111007,.75911558,131010829
13101121006,.70910424,13101107
13101121006,.70910424,13101108
13128071007,.46032223,13101122
13101161003,.64268631,131011326
13101161003,.64268631,131011327
13130071001,.56167912,13101135
13101191002,.55415732,13101141
13101191002,.55415732,13101143
13111051003,.28445941,13101145
13101241002,.4927884,13101151
13101241002,.4927884,131011524
13101241002,.4927884,13101157
13102011002,.26635468,131020123
13102011002,.26635468,131020124
13102011002,.26635468,131020125
13102011002,.26635468,131020126
13102011002,.26635468,131020128
13102011002,.26635468,13102014
13102011002,.26635468,13102017
13102031003,.41842836,13102023
13102031003,.41842836,13102025
13102041004,.22690609,13102035
13102041004,.22690609,13102038
13103021001,.17912869,131030121
13103021001,.17912869,131030122
13103021001,.17912869,131030125
13103021001,.17912869,13103014
13103021001,.17912869,13103015
13103041003,.36104453,131030221
13103041003,.36104453,131030227
13103041003,.36104453,131030228
13103071003,.22820081,131030325
13103071003,.22820081,131030327
13124041005,.25878099,13103041
13103091002,.23450837,13103045
13104031001,.28763208,13104012
13104031001,.28763208,131040126
13104031001,.28763208,13104013
13104031001,.28763208,13104014
13104051002,.449682,131040223
13104051002,.449682,131040224
13104051002,.449682,131040228
13128031002,.40027529,13104024
13104051002,.449682,13104025
13104081002,.27292022,13104031
13104081002,.27292022,13104032
13104081002,.27292022,131040322
13104081002,.27292022,131040323
13104081002,.27292022,131040328
13104081002,.27292022,13104033
13104101003,.4432748,13104042
13104101003,.4432748,13104043
13105031001,.5516091,131050123
13105031001,.5516091,131050124
13105031001,.5516091,131050125
13101131004,.66378337,13105013
13105031001,.5516091,13105015
13105031001,.5516091,13105016
13105061001,.46202874,131050226
13105061001,.46202874,131050227
13105061001,.46202874,131050228
13105061001,.46202874,13105023
13105061001,.46202874,13105025
13105061001,.46202874,13105026
13105071004,.16303803,13105031
13105071004,.16303803,13105032
13105071004,.16303803,131050325
13105071004,.16303803,13105033
13105071004,.16303803,13105037
13105091004,.41420236,13105042
13105091004,.41420236,131050422
13105091004,.41420236,131050424
13105091004,.41420236,131050427
13105091004,.41420236,131050428
13105091004,.41420236,13105043
13105091004,.41420236,13105044
13105091004,.41420236,13105045
13106021001,.3165063,13106012
13106021001,.3165063,13106014
13106021001,.3165063,13106015
13106061003,.3966589,13106022
13106061003,.3966589,131060222
13106061003,.3966589,131060223
13106061003,.3966589,131060226
13106061003,.3966589,131060227
13106061003,.3966589,13106024
13106061003,.3966589,13106027
13106061003,.3966589,13106028
13106081005,.70372802,13106033
13106111004,.50353384,13106046
13106111004,.50353384,13106049
13107011009,.41059533,131070122
13107011009,.41059533,13107013
13107011009,.41059533,13107015
13107011009,.41059533,13107016
13107011009,.41059533,13107017
13107011007,.77733696,131070226
13107041002,.2518127,13107031
13119181004,.29798901,13107032
13107041002,.2518127,131070321
13107041002,.2518127,131070325
13107041002,.2518127,131070326
13107041002,.2518127,13107033
13107041002,.2518127,13107034
13108011005,.39753991,13108012
13108011005,.39753991,131080123
13108011005,.39753991,131080127
13108011005,.39753991,13108013
13108031004,.41955149,13108021
13108031004,.41955149,131080226
13108031004,.41955149,131080229
13108031004,.41955149,131080232
13108061002,.49764925,13108031
13108061002,.49764925,131080325
13108061002,.49764925,13108037
13109021003,.49046186,13109011
13109021003,.49046186,131090123
13109021003,.49046186,131090125
13109021003,.49046186,131090126
13109021003,.49046186,131090128
13109021003,.49046186,13109013
13109021003,.49046186,13109017
13109021003,.49046186,13109018
13109041003,.5725745,13109022
13109041003,.5725745,131090225
13109041003,.5725745,131090226
13109061003,.59162325,13109032
13109061003,.59162325,131090321
13109061003,.59162325,13109034
13110021005,.56268227,13110011
13110021005,.56268227,13110014
13110021005,.56268227,13110015
13110041001,.63008124,13110022
13110041001,.63008124,13110023
13110071004,.8106485,131100422
13110071004,.8106485,131100425
13110071004,.8106485,131100427
13110091003,.65501457,131100524
13110091003,.65501457,131100525
13110091003,.65501457,131100526
13110091003,.65501457,13110057
13110111001,.48457634,13110061
13110121002,.49474233,13110071
13110121002,.49474233,13110073
13110121002,.49474233,13110074
13110121002,.49474233,13110076
13110141004,.23665407,131100825
13110141004,.23665407,131100826
13110161001,.49031362,13110091
13110161001,.49031362,13110092
13110161001,.49031362,13110094
13110171003,.49574947,13110101
13110191003,.57984728,13110111
13110191003,.57984728,13110116
13111021004,.26597056,13111013
13111021004,.26597056,13111015
13111051003,.28445941,13111021
13111051003,.28445941,13111022
13111051003,.28445941,131110222
13111051003,.28445941,131110223
13111051003,.28445941,131110224
13111051003,.28445941,13111024
13111071002,.50525397,131110326
13111071002,.50525397,131110328
13111071002,.50525397,13111034
13111071002,.50525397,13111036
13112011002,.46306342,13112011
13112011002,.46306342,13112012
13112031004,.21731795,13112021
13112031004,.21731795,13112022
13112031004,.21731795,131120223
13112031004,.21731795,131120224
13112031004,.21731795,131120225
13112031004,.21731795,131120228
13112031004,.21731795,13112024
13112031004,.21731795,13112027
13112041007,.35474935,13112032
13112041007,.35474935,131120324
13112041007,.35474935,131120326
13112041007,.35474935,131120327
13112041007,.35474935,131120328
13112041007,.35474935,13112033
13112041007,.35474935,13112035
13112041007,.35474935,13112037
13112051009,.15136084,13112041
13112051009,.15136084,13112042
13112051009,.15136084,13112044
13112071004,.16062638,131120522
13112071004,.16062638,131120525
13112071004,.16062638,13112053
13112071004,.16062638,13112055
13112071004,.16062638,13112056
13112081008,.12951434,13112062
13112081008,.12951434,13112063
13113031002,.93072331,13113011
13113031002,.93072331,131130124
13113031002,.93072331,131130126
13113031002,.93072331,13113013
13113031002,.93072331,13113015
13113051003,.972758,131130222
13113071005,.61339909,131130322
13113071005,.61339909,131130324
13113071005,.61339909,13113034
13114031001,.97335398,13114021
13114041003,.9995988,131140322
13114071001,.51193255,13114042
13114071001,.51193255,131140423
13114071001,.51193255,13114044
13114101002,.94897234,13114061
13114111007,.95766741,131140726
13114151003,.97161871,131141105
13116011005,.36009943,13116012
13116011005,.36009943,131160126
13116011005,.36009943,131160128
13116011005,.36009943,13116013
13116011005,.36009943,13116014
13116011005,.36009943,13116015
13116011005,.36009943,13116018
13116041003,.15015842,13116021
13116041003,.15015842,131160222
13116041003,.15015842,131160225
13116041003,.15015842,131160228
13401141003,.56437868,13116024
13116041003,.15015842,13116025
13116071004,.27265063,131160323
13116071004,.27265063,131160328
13117021005,.2956191,13117013
13117041004,.65715212,13117022
13117041004,.65715212,131170223
13117041004,.65715212,131170227
13117071002,.39657548,13117031
13113041003,.85119259,13118011
13118031003,.54210883,13118021
13118031003,.54210883,13118023
13118031003,.54210883,13118026
13118031003,.54210883,13118027
13122031007,.79910558,13118031
13118051002,.72909135,13118033
13118051002,.72909135,13118034
13118061006,.56397617,13118042
13118061006,.56397617,13118043
13119021003,.46815771,13119012
13119021003,.46815771,13119013
13119021003,.46815771,13119017
13119021010,.53236336,131190222
13119021010,.53236336,131190223
13119021010,.53236336,131190225
13110161004,.45823082,13119023
13119021010,.53236336,13119027
13119021010,.53236336,13119028
13119071001,.23011032,13119043
13119071001,.23011032,13119045
13119071015,.44840801,13119053
13119071015,.44840801,13119056
13119071015,.44840801,13119057
13119071004,.52856237,13119066
13119101001,.49719495,13119071
13119141001,.59817874,13119084
13119171001,.38018551,13119101
13119171001,.38018551,13119105
13119171001,.38018551,13119107
13119181004,.29798901,13119111
13119181004,.29798901,13119112
13116031001,.21369542,13119113
13119181004,.29798901,13119114
13119181004,.29798901,13119115
13119181004,.29798901,13119117
13119191003,.43715021,131191225
13119191003,.43715021,131191227
13119191003,.43715021,13119125
13119201007,.46967769,13119141
13119201007,.46967769,131191423
13119201007,.46967769,131191428
13119201007,.46967769,13119145
13119201007,.46967769,13119146
13119211004,.59436578,13119153
13119211004,.59436578,13119154
13119211004,.59436578,13119156
13119231004,.65549296,13119161
13120011003,.89190316,131200122
13120011003,.89190316,131200127
13114071001,.51193255,13120022
13120021001,.87804198,13120024
13120051001,.8612482,13120041
13120051001,.8612482,13120042
13120051001,.8612482,131200426
13120061004,.49757913,131200522
13120101002,.83514857,13120073
13120101002,.83514857,13120075
13120101002,.83514857,13120077
13121031001,.37415993,131210121
13121031001,.37415993,131210126
13121031001,.37415993,131210127
13121051002,.27893066,13121022
13121051002,.27893066,131210226
13121051002,.27893066,131210227
13121051002,.27893066,131210228
13121051002,.27893066,13121024
13121051002,.27893066,13121026
13121051002,.27893066,13121027
13121071004,.17859453,131210321
13121071004,.17859453,131210325
13121071004,.17859453,131210326
13121071004,.17859453,131210327
13121071004,.17859453,131210328
13121071004,.17859453,13121036
13121071004,.17859453,13121037
13122021004,.43899134,13122016
13122021004,.43899134,13122017
13122031007,.79910558,131220227
13122031007,.79910558,13122025
